Vertice, In, Out
(40310,14,18)
(40311,4,6)
(40312,2,5)
(40313,72,52)
(40314,4,6)
(40315,4,4)
(40316,3,3)
(40317,11,20)
(40318,2,2)
(40319,2,3)
(40320,16,12)
(40321,1,1)
(40322,2,2)
(40323,5,12)
(40324,9,25)
(40325,36,5)
(40326,2,3)
(40327,2,6)
(40328,1,10)
(40329,3,5)
(40330,3,6)
(40331,0,1)
(40332,1,1)
(40333,2,5)
(40334,4,3)
(40335,0,1)
(40336,3,2)
(40337,6,16)
(40338,1,3)
(40339,1,1)
(40340,65,15)
(40341,3,1)
(40342,2,1)
(40343,2,3)
(40344,2,2)
(40345,2,5)
(40346,5,8)
(40347,1,5)
(40348,4,7)
(40349,1,3)
(40350,3,2)
(40351,35,30)
(40352,1,5)
(40353,1,2)
(40354,7,16)
(40355,1,13)
(40356,0,36)
(40357,1,2)
(40358,3,10)
(40359,3,2)
(40360,1,10)
(40361,2,3)
(40362,2,2)
(40363,3,4)
(40364,10,15)
(40365,1,2)
(40366,1,2)
(40367,1,19)
(40368,1,1)
(40369,5,2)
(40370,0,1)
(40371,4,9)
(40372,2,3)
(40373,149,3)
(40374,3,2)
(40375,0,5)
(40376,3,3)
(40377,8,29)
(40378,2,6)
(40379,4,4)
(40380,8,27)
(40381,1,2)
(40382,3,4)
(40383,4,3)
(40384,2,2)
(40385,4,1)
(40386,2,10)
(40387,2,3)
(40388,15,10)
(40389,3,4)
(40390,2,4)
(40391,1,5)
(40392,7,12)
(40393,1,5)
(40394,1,2)
(40395,1,6)
(40396,2,1)
(40397,2,10)
(40398,4,4)
(40399,24,35)
(40400,2,10)
(40401,3,10)
(40402,4,7)
(40403,1,2)
(40404,4,7)
(40405,0,7)
(40406,2,2)
(40407,1,14)
(40408,1,2)
(40409,15,10)
(40410,4,7)
(40411,2,3)
(40412,4,5)
(40413,5,35)
(40414,1,7)
(40415,2,5)
(40416,0,2)
(40417,0,2)
(40418,0,8)
(40419,2,5)
(40420,4,6)
(40421,2,6)
(40422,15,36)
(40423,3,3)
(40424,4,7)
(40425,4,4)
(40426,16,21)
(40427,2,3)
(40428,2,10)
(40429,3,3)
(40430,2,2)
(40431,2,5)
(40432,1,1)
(40433,2,4)
(40434,2,6)
(40435,4,5)
(40436,5,4)
(40437,11,5)
(40438,2,3)
(40439,2,1)
(40440,80,1)
(40441,5,11)
(40442,6,2)
(40443,34,34)
(40444,2,4)
(40445,3,5)
(40446,4,3)
(40447,1,8)
(40448,1,2)
(40449,4,6)
(40450,2,2)
(40451,1,8)
(40452,3,5)
(40453,3,3)
(40454,50,6)
(40455,0,6)
(40456,1,2)
(40457,1,3)
(40458,3,0)
(40459,2,5)
(40460,4,6)
(40461,5,2)
(40462,12,29)
(40463,0,6)
(40464,3,2)
(40465,2,11)
(40466,4,10)
(40467,0,53)
(40468,1,6)
(40469,3,13)
(40470,1,2)
(40471,24,34)
(40472,5,8)
(40473,2,2)
(40474,3,5)
(40475,2,3)
(40476,4,1)
(40477,7,9)
(40478,2,2)
(40479,3,19)
(40480,1,3)
(40481,3,6)
(40482,3,9)
(40483,4,6)
(40484,1,2)
(40485,1,5)
(40486,2,4)
(40487,2,5)
(40488,1,1)
(40489,17,29)
(40490,2,2)
(40491,1,3)
(40492,4,11)
(40493,5,7)
(40494,94,20)
(40495,7,7)
(40496,3,23)
(40497,7,26)
(40498,2,36)
(40499,97,38)
(40500,2,3)
(40501,6,24)
(40502,4,7)
(40503,3,4)
(40504,4,6)
(40505,1,2)
(40506,2,12)
(40507,7,14)
(40508,1,4)
(40509,1,8)
(40510,3,2)
(40511,5,6)
(40512,3,32)
(40513,2,18)
(40514,7,7)
(40515,2,10)
(40516,5,7)
(40517,2,19)
(40518,0,2)
(40519,3,2)
(40520,0,1)
(40521,2,5)
(40522,4,4)
(40523,1,1)
(40524,2,2)
(40525,2,1)
(40526,15,2)
(40527,1,5)
(40528,3,5)
(40529,2,5)
(40530,2,2)
(40531,6,6)
(40532,1,18)
(40533,6,12)
(40534,104,15)
(40535,0,2)
(40536,0,7)
(40537,3,5)
(40538,1,6)
(40539,5,9)
(40540,1,1)
(40541,37,22)
(40542,1,6)
(40543,2,5)
(40544,4,4)
(40545,22,20)
(40546,0,26)
(40547,0,2)
(40548,3,6)
(40549,1,4)
(40550,1,18)
(40551,1,3)
(40552,1,3)
(40553,2,3)
(40554,9,13)
(40555,20,29)
(40556,3,4)
(40557,3,5)
(40558,2,2)
(40559,12,25)
(40560,1,5)
(40561,4,6)
(40562,1,1)
(40563,1,3)
(40564,3,10)
(40565,1,2)
(40566,2,1)
(40567,6,2)
(40568,0,1)
(40569,1,3)
(40570,6,24)
(40571,3,4)
(40572,3,6)
(40573,2,3)
(40574,3,4)
(40575,0,15)
(40576,2,5)
(40577,4,6)
(40578,2,4)
(40579,2,3)
(40580,3,2)
(40581,2,6)
(40582,2,6)
(40583,1,19)
(40584,1,1)
(40585,6,15)
(40586,7,9)
(40587,24,13)
(40588,3,5)
(40589,1,1)
(40590,5,2)
(40591,1,5)
(40592,2,6)
(40593,46,5)
(40594,2,4)
(40595,1,2)
(40596,3,10)
(40597,0,6)
(40598,15,3)
(40599,0,21)
(40600,10,12)
(40601,2,2)
(40602,3,2)
(40603,1,5)
(40604,301,6)
(40605,120,2)
(40606,2,6)
(40607,2,1)
(40608,1,10)
(40609,2,3)
(40610,127,57)
(40611,6,6)
(40612,1,2)
(40613,5,2)
(40614,5,6)
(40615,2,2)
(40616,3,6)
(40617,5,6)
(40618,2,3)
(40619,4,5)
(40620,3,18)
(40621,3,1)
(40622,1,5)
(40623,4,2)
(40624,2,6)
(40625,4,8)
(40626,1,10)
(40627,6,34)
(40628,0,30)
(40629,2,2)
(40630,2,5)
(40631,6,4)
(40632,3,2)
(40633,6,3)
(40634,47,13)
(40635,2,6)
(40636,2,36)
(40637,0,6)
(40638,0,16)
(40639,3,3)
(40640,2,2)
(40641,1,1)
(40642,13,15)
(40643,4,4)
(40644,3,4)
(40645,2,2)
(40646,4,3)
(40647,7,2)
(40648,1,10)
(40649,2,3)
(40650,1,31)
(40651,1,3)
(40652,1,5)
(40653,4,6)
(40654,4,10)
(40655,2,10)
(40656,5,13)
(40657,21,1)
(40658,3,5)
(40659,4,3)
(40660,3,4)
(40661,3,3)
(40662,4,10)
(40663,2,4)
(40664,1,7)
(40665,3,7)
(40666,4,4)
(40667,2,5)
(40668,1,3)
(40669,0,1)
(40670,1,19)
(40671,1,3)
(40672,4,9)
(40673,4,16)
(40674,1,1)
(40675,3,5)
(40676,2,3)
(40677,1,9)
(40678,4,4)
(40679,2,1)
(40680,0,1)
(40681,1,1)
(40682,1,3)
(40683,59,30)
(40684,4,3)
(40685,3,2)
(40686,5,8)
(40687,3,4)
(40688,1,2)
(40689,2,6)
(40690,1,10)
(40691,1,1)
(40692,1,2)
(40693,6,20)
(40694,3,6)
(40695,1,10)
(40696,5,8)
(40697,2,5)
(40698,1,1)
(40699,2,5)
(40700,38,14)
(40701,1,2)
(40702,3,5)
(40703,3,3)
(40704,0,15)
(40705,1,19)
(40706,2,3)
(40707,0,1)
(40708,2,2)
(40709,1,5)
(40710,73,12)
(40711,3,4)
(40712,3,5)
(40713,1,9)
(40714,8,2)
(40715,1,7)
(40716,5,5)
(40717,3,4)
(40718,1,7)
(40719,3,5)
(40720,0,6)
(40721,23,20)
(40722,4,5)
(40723,12,25)
(40724,2,12)
(40725,1,18)
(40726,3,6)
(40727,0,2)
(40728,1,8)
(40729,4,7)
(40730,3,2)
(40731,3,3)
(40732,1,5)
(40733,2,10)
(40734,1,5)
(40735,1,5)
(40736,16,7)
(40737,3,5)
(40738,0,5)
(40739,1,9)
(40740,1,5)
(40741,3,6)
(40742,5,3)
(40743,3,6)
(40744,143,64)
(40745,23,5)
(40746,2,2)
(40747,2,5)
(40748,2,1)
(40749,1,6)
(40750,2,6)
(40751,3,3)
(40752,2,5)
(40753,0,7)
(40754,4,6)
(40755,3,3)
(40756,4,3)
(40757,0,4)
(40758,4,5)
(40759,1,3)
(40760,2,5)
(40761,1,4)
(40762,2,9)
(40763,7,4)
(40764,1,13)
(40765,15,5)
(40766,1,5)
(40767,1,1)
(40768,2,5)
(40769,1,4)
(40770,1,2)
(40771,2,40)
(40772,7,9)
(40773,1,1)
(40774,13,4)
(40775,3,2)
(40776,2,3)
(40777,2,10)
(40778,1,13)
(40779,2,0)
(40780,21,29)
(40781,2,3)
(40782,1,2)
(40783,3,50)
(40784,6,7)
(40785,1,10)
(40786,4,6)
(40787,79,13)
(40788,1,1)
(40789,2,4)
(40790,2,2)
(40791,2,1)
(40792,1,36)
(40793,0,16)
(40794,4,4)
(40795,2,5)
(40796,4,5)
(40797,57,7)
(40798,1,5)
(40799,2,2)
(40800,3,4)
(40801,33,28)
(40802,7,3)
(40803,2,7)
(40804,98,17)
(40805,8,2)
(40806,6,2)
(40807,16,19)
(40808,7,31)
(40809,13,13)
(40810,5,8)
(40811,1,1)
(40812,81,4)
(40813,1,35)
(40814,1,43)
(40815,0,1)
(40816,1,2)
(40817,2,2)
(40818,17,15)
(40819,1,7)
(40820,2,5)
(40821,2,3)
(40822,3,19)
(40823,1,1)
(40824,1,1)
(40825,1,1)
(40826,1,7)
(40827,2,4)
(40828,2,3)
(40829,18,34)
(40830,1,1)
(40831,4,4)
(40832,2,3)
(40833,2,8)
(40834,2,2)
(40835,2,3)
(40836,1,4)
(40837,2,2)
(40838,3,2)
(40839,0,6)
(40840,3,5)
(40841,1,3)
(40842,14,15)
(40843,3,2)
(40844,7,9)
(40845,2,5)
(40846,28,29)
(40847,3,4)
(40848,4,6)
(40849,1,5)
(40850,0,6)
(40851,3,5)
(40852,2,5)
(40853,0,35)
(40854,2,3)
(40855,17,27)
(40856,7,24)
(40857,0,2)
(40858,0,2)
(40859,2,5)
(40860,3,4)
(40861,1,10)
(40862,2,2)
(40863,3,4)
(40864,0,1)
(40865,3,6)
(40866,6,2)
(40867,0,1)
(40868,4,6)
(40869,1,2)
(40870,43,10)
(40871,6,10)
(40872,3,4)
(40873,5,6)
(40874,1,1)
(40875,7,4)
(40876,2,2)
(40877,5,4)
(40878,1,37)
(40879,3,4)
(40880,2,3)
(40881,4,4)
(40882,7,7)
(40883,0,3)
(40884,1,2)
(40885,1,5)
(40886,3,5)
(40887,12,34)
(40888,6,2)
(40889,3,2)
(40890,3,2)
(40891,4,6)
(40892,0,1)
(40893,2,4)
(40894,4,4)
(40895,2,6)
(40896,0,1)
(40897,2,3)
(40898,1,5)
(40899,1,3)
(40900,4,5)
(40901,15,8)
(40902,15,18)
(40903,2,35)
(40904,7,6)
(40905,5,8)
(40906,3,8)
(40907,6,2)
(40908,1,1)
(40909,1,1)
(40910,1,12)
(40911,2,2)
(40912,6,2)
(40913,8,10)
(40914,4,6)
(40915,3,5)
(40916,11,20)
(40917,2,1)
(40918,2,3)
(40919,4,2)
(40920,6,2)
(40921,2,6)
(40922,0,7)
(40923,2,4)
(40924,4,5)
(40925,7,23)
(40926,3,5)
(40927,1,1)
(40928,3,5)
(40929,1,3)
(40930,2,8)
(40931,3,4)
(40932,2,5)
(40933,2,5)
(40934,1,3)
(40935,1,1)
(40936,6,2)
(40937,1,19)
(40938,3,6)
(40939,1,34)
(40940,20,7)
(40941,1,12)
(40942,5,9)
(40943,2,3)
(40944,1,1)
(40945,2,4)
(40946,5,5)
(40947,8,3)
(40948,0,2)
(40949,4,4)
(40950,2,1)
(40951,0,58)
(40952,1,3)
(40953,3,5)
(40954,9,4)
(40955,2,6)
(40956,1,1)
(40957,11,16)
(40958,1,7)
(40959,15,10)
(40960,1,18)
(40961,6,2)
(40962,1,4)
(40963,2,3)
(40964,19,21)
(40965,16,15)
(40966,3,4)
(40967,3,6)
(40968,1,1)
(40969,4,6)
(40970,4,6)
(40971,3,5)
(40972,6,2)
(40973,32,19)
(40974,3,4)
(40975,2,7)
(40976,2,4)
(40977,12,11)
(40978,3,4)
(40979,2,20)
(40980,0,1)
(40981,1,5)
(40982,2,3)
(40983,1,19)
(40984,3,3)
(40985,2,10)
(40986,2,3)
(40987,0,16)
(40988,2,5)
(40989,1,2)
(40990,2,4)
(40991,1,1)
(40992,2,1)
(40993,6,2)
(40994,1,1)
(40995,2,5)
(40996,2,5)
(40997,6,2)
(40998,3,4)
(40999,1,19)
(41000,2,3)
(41001,3,2)
(41002,5,2)
(41003,2,7)
(41004,1,4)
(41005,2,4)
(41006,12,5)
(41007,1,19)
(41008,1,1)
(41009,2,4)
(41010,2,2)
(41011,1,3)
(41012,2,4)
(41013,1,1)
(41014,1,3)
(41015,2,10)
(41016,1,18)
(41017,2,4)
(41018,8,24)
(41019,1,1)
(41020,6,4)
(41021,2,6)
(41022,2,28)
(41023,2,5)
(41024,0,1)
(41025,2,10)
(41026,3,4)
(41027,3,32)
(41028,3,5)
(41029,2,2)
(41030,1,10)
(41031,6,2)
(41032,2,2)
(41033,5,6)
(41034,15,10)
(41035,1,18)
(41036,3,3)
(41037,18,32)
(41038,7,3)
(41039,3,5)
(41040,2,2)
(41041,2,3)
(41042,5,10)
(41043,13,15)
(41044,4,4)
(41045,1,60)
(41046,5,6)
(41047,3,5)
(41048,7,3)
(41049,5,6)
(41050,3,3)
(41051,4,7)
(41052,3,4)
(41053,2,5)
(41054,3,3)
(41055,2,5)
(41056,3,4)
(41057,3,9)
(41058,2,1)
(41059,0,1)
(41060,4,6)
(41061,6,2)
(41062,8,34)
(41063,6,10)
(41064,1,7)
(41065,1,8)
(41066,1,5)
(41067,2,2)
(41068,3,2)
(41069,4,5)
(41070,1,7)
(41071,2,2)
(41072,4,5)
(41073,3,3)
(41074,6,2)
(41075,2,6)
(41076,1,1)
(41077,0,42)
(41078,2,2)
(41079,1,5)
(41080,20,5)
(41081,15,10)
(41082,1,10)
(41083,1,5)
(41084,4,6)
(41085,0,1)
(41086,4,3)
(41087,1,5)
(41088,4,5)
(41089,3,4)
(41090,3,5)
(41091,5,8)
(41092,3,15)
(41093,2,6)
(41094,2,5)
(41095,5,6)
(41096,1,1)
(41097,2,7)
(41098,1,35)
(41099,20,16)
(41100,3,3)
(41101,2,4)
(41102,3,5)
(41103,2,3)
(41104,2,10)
(41105,3,5)
(41106,4,4)
(41107,1,4)
(41108,2,10)
(41109,3,4)
(41110,1,16)
(41111,85,5)
(41112,2,5)
(41113,1,1)
(41114,3,6)
(41115,2,4)
(41116,37,34)
(41117,2384,18)
(41118,2,5)
(41119,1,19)
(41120,2,2)
(41121,4,6)
(41122,16,24)
(41123,1,2)
(41124,3,5)
(41125,2,5)
(41126,34,3)
(41127,4,3)
(41128,1,8)
(41129,0,1)
(41130,19,30)
(41131,5,14)
(41132,2,5)
(41133,2,31)
(41134,1,2)
(41135,3,4)
(41136,2,5)
(41137,3,8)
(41138,2,46)
(41139,2,10)
(41140,0,8)
(41141,1,36)
(41142,2,5)
(41143,3,5)
(41144,2,2)
(41145,2,6)
(41146,3,6)
(41147,2,3)
(41148,2,2)
(41149,6,2)
(41150,3,4)
(41151,3,3)
(41152,1,18)
(41153,1,8)
(41154,1,6)
(41155,15,36)
(41156,5,2)
(41157,2,3)
(41158,3,4)
(41159,2,3)
(41160,3,4)
(41161,0,8)
(41162,0,13)
(41163,6,2)
(41164,0,7)
(41165,4,3)
(41166,1,2)
(41167,2,4)
(41168,3,5)
(41169,2,10)
(41170,2,4)
(41171,1,10)
(41172,12,12)
(41173,40,7)
(41174,6,2)
(41175,2,2)
(41176,3,3)
(41177,16,14)
(41178,3,16)
(41179,10,2)
(41180,2,36)
(41181,1,1)
(41182,8,25)
(41183,18,17)
(41184,3,4)
(41185,2,8)
(41186,2,6)
(41187,0,4)
(41188,3,4)
(41189,2,2)
(41190,3,10)
(41191,4,6)
(41192,1,5)
(41193,0,2)
(41194,1,5)
(41195,5,6)
(41196,3,5)
(41197,1,10)
(41198,2,3)
(41199,4,6)
(41200,1,8)
(41201,0,8)
(41202,3,5)
(41203,3,7)
(41204,2,4)
(41205,2,6)
(41206,1,5)
(41207,2,6)
(41208,1,4)
(41209,3,48)
(41210,26,5)
(41211,2,3)
(41212,2,5)
(41213,3,5)
(41214,5,3)
(41215,4,5)
(41216,2,5)
(41217,2,4)
(41218,1,1)
(41219,1,1)
(41220,5,7)
(41221,19,2)
(41222,2,10)
(41223,1,5)
(41224,1,8)
(41225,18,17)
(41226,23,23)
(41227,3,5)
(41228,3,4)
(41229,5,6)
(41230,2,3)
(41231,9,14)
(41232,1,1)
(41233,2,2)
(41234,2,5)
(41235,1154,30)
(41236,2,3)
(41237,1,6)
(41238,1,1)
(41239,2,2)
(41240,2,2)
(41241,2,9)
(41242,2,12)
(41243,1,5)
(41244,3,3)
(41245,2,4)
(41246,28,6)
(41247,5,6)
(41248,2,6)
(41249,2,2)
(41250,88,69)
(41251,7,3)
(41252,2,5)
(41253,2,36)
(41254,1,7)
(41255,6,13)
(41256,1,18)
(41257,1,2)
(41258,2,6)
(41259,2,4)
(41260,0,7)
(41261,15,11)
(41262,2,2)
(41263,3,5)
(41264,4,4)
(41265,0,1)
(41266,15,10)
(41267,2,3)
(41268,15,36)
(41269,30,38)
(41270,8,27)
(41271,1,9)
(41272,3,5)
(41273,1,1)
(41274,3,10)
(41275,2,4)
(41276,3,4)
(41277,2,5)
(41278,1,1)
(41279,2,3)
(41280,0,1)
(41281,1,1)
(41282,1,5)
(41283,2,10)
(41284,113,12)
(41285,5,7)
(41286,3,5)
(41287,2,5)
(41288,2,1)
(41289,5,2)
(41290,1,10)
(41291,2,1)
(41292,1,8)
(41293,2,5)
(41294,0,16)
(41295,5,7)
(41296,1,8)
(41297,2,5)
(41298,4,4)
(41299,3,4)
(41300,5,2)
(41301,3,3)
(41302,3,1)
(41303,1,5)
(41304,2,1)
(41305,1,6)
(41306,1,10)
(41307,4,4)
(41308,1,1)
(41309,1,9)
(41310,9,4)
(41311,2,3)
(41312,15,10)
(41313,2,2)
(41314,1,11)
(41315,2,4)
(41316,5,6)
(41317,1,1)
(41318,1,12)
(41319,4,4)
(41320,2,8)
(41321,4,4)
(41322,15,10)
(41323,3,5)
(41324,2,5)
(41325,1,8)
(41326,1,5)
(41327,4,43)
(41328,1,1)
(41329,1,8)
(41330,1,5)
(41331,4,20)
(41332,3,167)
(41333,0,1)
(41334,13,27)
(41335,3,4)
(41336,4,4)
(41337,10,11)
(41338,5,3)
(41339,1,4)
(41340,2,4)
(41341,15,10)
(41342,1,5)
(41343,1,4)
(41344,1,6)
(41345,2,2)
(41346,10,2)
(41347,1,52)
(41348,3,5)
(41349,1,10)
(41350,4,10)
(41351,0,2)
(41352,5,16)
(41353,5,6)
(41354,2,10)
(41355,13,18)
(41356,1,6)
(41357,1,5)
(41358,3,2)
(41359,2,1)
(41360,5,7)
(41361,6,2)
(41362,5,2)
(41363,1,2)
(41364,2,2)
(41365,1,15)
(41366,114,10)
(41367,2,5)
(41368,3,2)
(41369,31,2)
(41370,2,3)
(41371,18,6)
(41372,1,48)
(41373,20,13)
(41374,2,31)
(41375,10,31)
(41376,3,5)
(41377,2,6)
(41378,39,4)
(41379,1,2)
(41380,5,5)
(41381,4,5)
(41382,2,5)
(41383,1,10)
(41384,2,5)
(41385,5,5)
(41386,1,8)
(41387,3,6)
(41388,1,1)
(41389,2,10)
(41390,1,13)
(41391,4,4)
(41392,0,4)
(41393,2,5)
(41394,1,18)
(41395,0,36)
(41396,3,4)
(41397,0,1)
(41398,3,3)
(41399,2,10)
(41400,1,3)
(41401,1,5)
(41402,2,2)
(41403,4,4)
(41404,2,4)
(41405,4,15)
(41406,2,3)
(41407,2,5)
(41408,0,1)
(41409,5,6)
(41410,1,5)
(41411,4,4)
(41412,2,5)
(41413,1,3)
(41414,7,5)
(41415,1,5)
(41416,4,3)
(41417,15,36)
(41418,3,3)
(41419,4,4)
(41420,2,5)
(41421,1,19)
(41422,2,3)
(41423,5,6)
(41424,3,6)
(41425,1,18)
(41426,1,2)
(41427,1,5)
(41428,1,10)
(41429,2,3)
(41430,2,57)
(41431,4,4)
(41432,2,36)
(41433,14,14)
(41434,2,1)
(41435,5,3)
(41436,23,20)
(41437,2,35)
(41438,1,18)
(41439,1,10)
(41440,7,3)
(41441,1,10)
(41442,1,1)
(41443,0,2)
(41444,1,8)
(41445,3,7)
(41446,3,6)
(41447,4,20)
(41448,15,10)
(41449,2,2)
(41450,0,1)
(41451,2,6)
(41452,4,6)
(41453,5,1)
(41454,3,3)
(41455,4,2)
(41456,6,4)
(41457,3,2)
(41458,2,4)
(41459,4,16)
(41460,1,10)
(41461,3,3)
(41462,2,3)
(41463,1,1)
(41464,3,2)
(41465,1,1)
(41466,1,8)
(41467,4,6)
(41468,9,9)
(41469,3,3)
(41470,0,1)
(41471,7,8)
(41472,0,1)
(41473,2,3)
(41474,3,4)
(41475,1,5)
(41476,15,28)
(41477,3,4)
(41478,2,4)
(41479,2,1)
(41480,2,4)
(41481,5,6)
(41482,1,10)
(41483,1,1)
(41484,6,2)
(41485,7,17)
(41486,1,10)
(41487,2,6)
(41488,7,7)
(41489,0,1)
(41490,0,6)
(41491,7,5)
(41492,1,1)
(41493,3,5)
(41494,7,7)
(41495,1,55)
(41496,5,14)
(41497,2,2)
(41498,4,7)
(41499,3,3)
(41500,3,5)
(41501,0,2)
(41502,1,2)
(41503,2,5)
(41504,49,50)
(41505,1,1)
(41506,8,25)
(41507,2,4)
(41508,1,3)
(41509,3,3)
(41510,2,8)
(41511,1,16)
(41512,15,10)
(41513,1,8)
(41514,1,8)
(41515,2,8)
(41516,1,5)
(41517,4,4)
(41518,11,20)
(41519,3,5)
(41520,1,19)
(41521,1,18)
(41522,2,2)
(41523,8,15)
(41524,1,4)
(41525,2,5)
(41526,2,3)
(41527,2,2)
(41528,6,8)
(41529,1,43)
(41530,2,3)
(41531,2,4)
(41532,4,4)
(41533,1,2)
(41534,3,6)
(41535,3,2)
(41536,2,5)
(41537,4,11)
(41538,2,9)
(41539,6,5)
(41540,2,6)
(41541,0,107)
(41542,3,6)
(41543,3,9)
(41544,4,3)
(41545,1,10)
(41546,3,3)
(41547,1,1)
(41548,1,8)
(41549,1,1)
(41550,1,1)
(41551,1,7)
(41552,1,35)
(41553,2,3)
(41554,2,5)
(41555,4,3)
(41556,1,7)
(41557,3,3)
(41558,8,27)
(41559,0,1)
(41560,2,2)
(41561,2,2)
(41562,2,5)
(41563,1,22)
(41564,2,4)
(41565,5,4)
(41566,3,6)
(41567,3,5)
(41568,48,18)
(41569,2,2)
(41570,2,4)
(41571,1,1)
(41572,1,2)
(41573,3,5)
(41574,3,4)
(41575,13,31)
(41576,2,13)
(41577,3,2)
(41578,2,2)
(41579,0,3)
(41580,2,2)
(41581,1,6)
(41582,1,5)
(41583,1,2)
(41584,2,5)
(41585,2,11)
(41586,2,2)
(41587,14,19)
(41588,5,2)
(41589,0,4)
(41590,3,5)
(41591,3,4)
(41592,3,6)
(41593,1,1)
(41594,5,13)
(41595,4,6)
(41596,1,5)
(41597,2,10)
(41598,5,6)
(41599,3,4)
(41600,2,6)
(41601,1,1)
(41602,11,20)
(41603,2,5)
(41604,6,16)
(41605,2,5)
(41606,1,2)
(41607,2,6)
(41608,7,3)
(41609,5,2)
(41610,1,5)
(41611,1,8)
(41612,1,8)
(41613,3,7)
(41614,4,6)
(41615,1,10)
(41616,1,2)
(41617,0,2)
(41618,3,9)
(41619,1,5)
(41620,7,10)
(41621,0,1)
(41622,3,3)
(41623,2,5)
(41624,4,7)
(41625,1,25)
(41626,2,3)
(41627,0,4)
(41628,2,3)
(41629,1,1)
(41630,0,2)
(41631,7,14)
(41632,1,10)
(41633,3,5)
(41634,3,2)
(41635,4,7)
(41636,4,4)
(41637,1,10)
(41638,6,3)
(41639,2,6)
(41640,1,4)
(41641,4,8)
(41642,0,2)
(41643,15,10)
(41644,1,4)
(41645,2,6)
(41646,1,10)
(41647,2,2)
(41648,12,28)
(41649,1,2)
(41650,7,4)
(41651,1,2)
(41652,3,2)
(41653,5,9)
(41654,2,3)
(41655,2,5)
(41656,19,27)
(41657,1,1)
(41658,2,9)
(41659,2,3)
(41660,4,7)
(41661,3,5)
(41662,0,1)
(41663,2,3)
(41664,3,4)
(41665,1,2)
(41666,1,8)
(41667,11,17)
(41668,3,6)
(41669,3,4)
(41670,3,5)
(41671,3,5)
(41672,3,5)
(41673,5,7)
(41674,6,2)
(41675,4,4)
(41676,0,6)
(41677,27,28)
(41678,3,4)
(41679,5,8)
(41680,3,6)
(41681,1,9)
(41682,5,3)
(41683,6,2)
(41684,1,9)
(41685,1,5)
(41686,7,8)
(41687,2,10)
(41688,1,5)
(41689,3,6)
(41690,6,1)
(41691,2,8)
(41692,2,4)
(41693,1,5)
(41694,3,5)
(41695,12,1)
(41696,2,3)
(41697,2,5)
(41698,2,2)
(41699,6,8)
(41700,3,6)
(41701,7,10)
(41702,2,5)
(41703,3,5)
(41704,4,9)
(41705,6,11)
(41706,1,2)
(41707,37,4)
(41708,1,1)
(41709,15,36)
(41710,15,10)
(41711,17,22)
(41712,2,62)
(41713,2,2)
(41714,3,4)
(41715,3,3)
(41716,2,5)
(41717,3,4)
(41718,1,1)
(41719,3,2)
(41720,2,3)
(41721,3,4)
(41722,3,4)
(41723,1,11)
(41724,1,1)
(41725,2,10)
(41726,4,28)
(41727,0,8)
(41728,1,6)
(41729,2,5)
(41730,0,16)
(41731,2,1)
(41732,2,2)
(41733,1,1)
(41734,3,5)
(41735,1,49)
(41736,2,3)
(41737,3,7)
(41738,3,2)
(41739,2,9)
(41740,15,10)
(41741,3,36)
(41742,0,1)
(41743,16,37)
(41744,1,1)
(41745,4,4)
(41746,11,12)
(41747,1,8)
(41748,0,6)
(41749,2,4)
(41750,1,5)
(41751,2,10)
(41752,3,5)
(41753,1,19)
(41754,2,8)
(41755,4,3)
(41756,1,1)
(41757,2,1)
(41758,2,1)
(41759,3,5)
(41760,9,16)
(41761,2,3)
(41762,0,1)
(41763,1,1)
(41764,3,5)
(41765,3,4)
(41766,1,3)
(41767,3,5)
(41768,1,3)
(41769,18,24)
(41770,3,17)
(41771,17,6)
(41772,1,2)
(41773,3,5)
(41774,5,7)
(41775,0,16)
(41776,0,2)
(41777,1,8)
(41778,1,2)
(41779,0,1)
(41780,7,3)
(41781,4,5)
(41782,2,3)
(41783,2,5)
(41784,8,13)
(41785,2,2)
(41786,2,2)
(41787,1,18)
(41788,1,10)
(41789,1,8)
(41790,1,1)
(41791,3,32)
(41792,2,5)
(41793,2,3)
(41794,2,3)
(41795,26,33)
(41796,2,4)
(41797,2,2)
(41798,1,1)
(41799,5,8)
(41800,17,21)
(41801,3,3)
(41802,2,5)
(41803,3,5)
(41804,2,6)
(41805,1,13)
(41806,2,2)
(41807,1,5)
(41808,3,7)
(41809,5,2)
(41810,2,2)
(41811,2,4)
(41812,3,3)
(41813,1,2)
(41814,4,2)
(41815,48,7)
(41816,1,10)
(41817,2,5)
(41818,34,20)
(41819,0,1)
(41820,2,2)
(41821,2,6)
(41822,1,10)
(41823,8,18)
(41824,6,2)
(41825,3,3)
(41826,1,10)
(41827,2,1)
(41828,3,4)
(41829,5,1)
(41830,3,7)
(41831,2,6)
(41832,3,5)
(41833,1,6)
(41834,4,5)
(41835,1,1)
(41836,1,5)
(41837,3,6)
(41838,0,7)
(41839,2,3)
(41840,5,6)
(41841,1,3)
(41842,4,45)
(41843,4,3)
(41844,2,17)
(41845,1,5)
(41846,8,17)
(41847,28,27)
(41848,3,4)
(41849,0,1)
(41850,3,17)
(41851,2,4)
(41852,3,4)
(41853,2,4)
(41854,1,5)
(41855,1,10)
(41856,0,105)
(41857,2,2)
(41858,4,5)
(41859,2,3)
(41860,3,2)
(41861,3,4)
(41862,4,5)
(41863,2,2)
